Names,Count
Kulfa Brick_Box,1575
Mango Brick_Box,996
Strawberry Brick_Box,674
Vanilla Brick_Box,656
Kulfa Cup_Box,580
Mango Cup_Box,463
Kulfa Tub_Box,354
Chocolate Brick_Box,264
Tutti Frutti Brick_Box,257
Vanilla Cup_Box,252
Candy Pop Cup_Box,234
Shahi Mango_Box,234
Pista Brick_Box,225
Caramel Chocbar Stick_Box,214
Cookie Mania Brick_Box,211
Matka Kulfi Tub_Box,203
Kulfi Stick_Box,173
Chocolate Crispies Cone_Box,167
Core Stick_Box,159
Mango & Vanilla Brick_Box,157
Caramel Crunch Cone_Box,143
Chocolate Royale_Box,138
Mango & Vanilla Tub_Box,136
Strawberry Cheesecake Cone_Box,128
Choc-O Stick_Box,125
Vanilla Chocolate Cone_Box,118
Vanilla Choco Nuts Cone_Box,113
Strawberry & Vanilla Tub_Box,110
Cookie Mania Stick_Box,108
A Case of Vanilla & Hazelnut Stick_Box,102
Vvroom Stick_Box,97
Vanilla Strawberry Cone_Box,93
Candi Stick_Box,92
Chocbar Stick_Box,89
Orange Pop Stick_Box,88
Chocolate & Vanilla Tub_Box,82
Pistachio Chocolate Cone_Box,79
Cool Omoji Stick_Box,73
Mini Kulfi Stick_Box,71
Choc Stick_Box,64
Love Omoji Stick_Box,64
Cookie Mania Tub_Box,48
Traffic Light Stick_Box,39
Tiramisu Tub_Box,32
Lick-A-Flavour Stick_Box,28
Orange Crush Stick_Box,23
French Praline Tub_Box,16
CandyPop Stick_Box,10
Jumbo Chochead Stick_Box,9
Mango Crush Stick_Box,9
Coffee Chocbar Stick_Box,7
Krunch Kulfi Stick_Box,4
Raspberry Pop Stick_Box,4
Vanilla Stick_Box,3
Blueberry Pop Stick_Box,1
Orange Chocbar Stick_Box,1
Vanilla Chocolate Cone_Box,1
Generic Cone_Box,
Generic Icecream_Box,
Generic Cup_Box,
